,media_source,country_code,date,LTV,cost
0,ByteDance,AE,2020-08-29,0.0,1.83
1,ByteDance,AE,2020-08-30,0.0,2.13
2,ByteDance,AE,2020-08-31,0.0,3.3200000000000003
3,ByteDance,AE,2020-09-01,0.0,4.37
4,ByteDance,AE,2020-09-02,0.0,4.37
5,ByteDance,AE,2020-09-03,0.0,4.43
6,ByteDance,AE,2020-09-04,0.0,13.9
7,ByteDance,AE,2020-09-05,0.0,14.91
8,ByteDance,AE,2020-09-06,0.0,16.36
9,ByteDance,AE,2020-09-07,0.0,17.47
10,ByteDance,AE,2020-09-08,0.0,17.47
11,ByteDance,AE,2020-09-09,0.0,17.47
12,ByteDance,AE,2020-09-10,0.0,97.28999999999999
13,ByteDance,AE,2020-09-11,0.0,175.82
14,ByteDance,AE,2020-09-12,0.0,181.31
15,ByteDance,AE,2020-09-13,0.0,181.31
16,ByteDance,AE,2020-09-14,0.0,181.31
17,ByteDance,AE,2020-09-15,0.0,181.31
18,ByteDance,AE,2020-09-16,0.0,181.31
19,ByteDance,AE,2020-09-17,0.0,181.31
20,ByteDance,AE,2020-09-18,0.0,181.31
21,ByteDance,AE,2020-09-19,0.0,181.31
22,ByteDance,AE,2020-09-20,0.0,181.31
23,ByteDance,AE,2020-09-21,0.0,181.31
24,ByteDance,AE,2020-09-22,0.0,181.31
25,ByteDance,AE,2020-09-23,0.0,190.45999999999998
26,ByteDance,AE,2020-09-24,0.0,197.17
27,ByteDance,AE,2020-09-25,0.0,197.17
28,ByteDance,AE,2020-09-26,0.0,197.17
29,ByteDance,AE,2020-09-27,0.0,197.17
30,ByteDance,AE,2020-09-28,0.0,197.17
31,ByteDance,AE,2020-09-29,0.0,197.17
32,ByteDance,AE,2020-09-30,0.0,197.17
33,ByteDance,AU,2020-08-29,0.0,0.01
34,ByteDance,AU,2020-08-30,0.0,0.01
35,ByteDance,AU,2020-08-31,0.0,0.01
36,ByteDance,AU,2020-09-01,0.0,0.01
37,ByteDance,AU,2020-09-02,0.0,0.01
38,ByteDance,AU,2020-09-03,0.0,7.47
39,ByteDance,AU,2020-09-04,0.0,10.55
40,ByteDance,AU,2020-09-05,0.0,10.55
41,ByteDance,AU,2020-09-06,0.0,10.55
42,ByteDance,AU,2020-09-07,0.0,10.55
43,ByteDance,AU,2020-09-08,0.0,10.55
44,ByteDance,AU,2020-09-09,0.0,10.55
45,ByteDance,AU,2020-09-10,0.0,16.71
46,ByteDance,AU,2020-09-11,0.0,26.97
47,ByteDance,AU,2020-09-12,0.0,33.44
48,ByteDance,AU,2020-09-13,0.0,33.44
49,ByteDance,AU,2020-09-14,0.0,33.44
50,ByteDance,AU,2020-09-15,0.0,33.44
51,ByteDance,AU,2020-09-16,0.0,33.44
52,ByteDance,AU,2020-09-17,0.0,33.44
53,ByteDance,AU,2020-09-18,0.0,33.44
54,ByteDance,AU,2020-09-19,0.0,33.44
55,ByteDance,AU,2020-09-20,0.0,33.44
56,ByteDance,AU,2020-09-21,0.0,33.44
57,ByteDance,AU,2020-09-22,0.0,33.44
58,ByteDance,AU,2020-09-23,0.0,56.39
